ID,Latitude,Longitude,City,State,Population,Zoo,Num of Zoos,Pet Shops,Num of Pet Shops,Light Rail,Num of Light Rails
23529,42.95947,-85.48975,Forest Hills,MI,25867,No zoo found,0.0,PetSmart,4.0,Tim Hortons,21.0
23530,42.32559,-83.33104,Garden City,MI,26920,Taylor Petting Farm,1.0,House of Pets,17.0,Tim Hortons,62.0
23531,42.96336,-85.66809,Grand Rapids,MI,195097,John Ball Zoo,1.0,Chow Hound Pet Supplies,10.0,Local Mocha Coffee,33.0
23532,42.90975,-85.76309,Grandville,MI,15953,John Ball Zoo,1.0,PetSmart,8.0,Wildroast Coffee Co.,33.0
23533,42.44365,-82.90686,Grosse Pointe Woods,MI,15762,Belle Isle Nature Center,1.0,Petco,13.0,Starbucks,31.0
23534,42.39282,-83.04964,Hamtramck,MI,22002,Belle Isle Nature Center,2.0,3 Dogs 1 Cat,25.0,Cafe 1923,96.0
23535,42.74698,-84.40108,Haslett,MI,19220,Potter Park Zoo,1.0,PetSmart,9.0,Starbucks,36.0
23536,42.46254,-83.10409,Hazel Park,MI,16597,Detroit Zoo,1.0,Petco,17.0,Tim Hortons,76.0
23537,42.78752,-86.10893,Holland,MI,33742,No zoo found,0.0,Petco,1.0,Lemonjello's,8.0
23538,42.64059,-84.51525,Holt,MI,23973,Potter Park Zoo,1.0,Pet Supplies Plus,10.0,Biggby Coffee,41.0
23539,42.24587,-84.40135,Jackson,MI,33133,No zoo found,0.0,Pet Supplies Plus,2.0,Jackson Coffee Company,6.0
23540,42.90725,-85.79198,Jenison,MI,16538,John Ball Zoo,1.0,PetSmart,7.0,Biggby Coffee,31.0
23541,42.29171,-85.58723,Kalamazoo,MI,76041,No zoo found,0.0,Wild Birds Unlimited,6.0,Starbucks,16.0
23542,42.86947,-85.64475,Kentwood,MI,51357,John Ball Zoo,1.0,Pet Supplies Plus,8.0,Tim Hortons,30.0
23543,42.73253,-84.55553,Lansing,MI,115056,Potter Park Zoo,1.0,Anna Belle's,11.0,Biggby Coffee,44.0
23544,42.25059,-83.17854,Lincoln Park,MI,37012,Taylor Petting Farm,1.0,Pet Care Supplies inc.,23.0,Tim Hortons,96.0
23545,42.36837,-83.35271,Livonia,MI,94635,No zoo found,0.0,Premier Pet Supply,16.0,Tim Hortons,55.0
23546,42.48587,-83.1052,Madison Heights,MI,30198,Detroit Zoo,1.0,Petco,15.0,Biggby Coffee,56.0
23547,46.54354,-87.39542,Marquette,MI,21297,No zoo found,0.0,Green Dog,2.0,Starbucks,3.0
23548,43.61558,-84.24721,Midland,MI,42200,No zoo found,0.0,Soldan's Feeds and Pet Supplies,3.0,Biggby Coffee,4.0
23549,41.91643,-83.39771,Monroe,MI,20092,No zoo found,0.0,PetSmart,1.0,Agua Dulce,6.0
23550,42.59726,-82.87798,Mount Clemens,MI,16400,No zoo found,0.0,Petco,6.0,Tim Hortons,21.0
23551,43.59781,-84.76751,Mount Pleasant,MI,26060,No zoo found,0.0,PetSmart,1.0,Biggby Coffee,6.0
23552,43.23418,-86.24839,Muskegon,MI,38401,No zoo found,0.0,PetSmart,1.0,Aldea Coffee,7.0
23553,43.1689,-86.26395,Norton Shores,MI,24208,No zoo found,0.0,PetSmart,2.0,Tim Hortons,9.0
23554,42.48059,-83.47549,Novi,MI,58723,No zoo found,0.0,Petland,16.0,Starbucks,41.0
23555,42.45948,-83.18271,Oak Park,MI,29752,Detroit Zoo,1.0,Maestro's Dog Haus,21.0,Tim Hortons,69.0
23556,42.72226,-84.42747,Okemos,MI,21369,Potter Park Zoo,1.0,Pet Supplies Plus,9.0,Biggby Coffee,40.0
23557,42.63892,-83.29105,Pontiac,MI,59917,No zoo found,0.0,Pet Supplies Plus,17.0,Tim Hortons,46.0
23558,42.97086,-82.42491,Port Huron,MI,29330,No zoo found,0.0,The Petfood Warehouse,9.0,The Exquisite Corpse Coffee House,23.0
23559,42.20115,-85.58,Portage,MI,48177,No zoo found,0.0,Pets Supplies Pluss,6.0,Starbucks,16.0
23560,42.38337,-83.2966,Redford,MI,49936,Detroit Zoo,1.0,Chap's Feeds,19.0,Tim Hortons,59.0
23561,42.65837,-83.14993,Rochester Hills,MI,73424,No zoo found,0.0,Petco,13.0,Tim Hortons,40.0
23562,42.22226,-83.3966,Romulus,MI,23417,Taylor Petting Farm,1.0,PetSmart,8.0,Starbucks,38.0
23563,42.49726,-82.93714,Roseville,MI,47637,No zoo found,0.0,PetSmart,8.0,Tim Hortons,27.0
23564,42.48948,-83.14465,Royal Oak,MI,59008,Detroit Zoo,1.0,Royal Tropical Fish and Bird Haven,16.0,Starbucks,58.0
